CompetencyID,Competency,BlockID,BlockName
C001,"Installation et raccordement (Fibre, Cuivre, Coaxial)",5,Infrastructure Cloud Réseaux
C002,Maintenance et dépannage pannes client,5,Infrastructure Cloud Réseaux
C003,Lecture de plans et schémas techniques,5,Infrastructure Cloud Réseaux
C004,"Utilisation d’outils de mesure (OTDR, PM, PTO)",17,Outils Techniques & Terrain
C005,Configuration d’équipements et suivi d’interventions,17,Outils Techniques & Terrain
C006,"Programmation (Python, C++, SQL)",1,Développement
C007,"Préparation de données (Nettoyage, Valeurs manquantes, ETL)",1,Développement
C008,"Analyse de données (EDA, Statistiques descriptives)",2,Data Analysis & BI
C009,Statistiques avancées et Mathématiques,2,Data Analysis & BI
C010,Visualisation de données et Tableaux de bord,2,Data Analysis & BI
C011,"Apprentissage automatique (Algorithmes, Théorie, Évaluation)",3,Intelligence Artificielle
C012,Apprentissage profond et architectures (Réseaux de neurones),3,Intelligence Artificielle
C013,"IA Spécialisée (NLP, Vision par ordinateur)",3,Intelligence Artificielle
C014,"MLOps et Déploiement (APIs, CI/CD, Monitoring)",5,Infrastructure Cloud Réseaux
C015,"Plateformes Cloud (AWS, GCP, Azure)",5,Infrastructure Cloud Réseaux
C016,"Architecture Big Data (Spark, Hadoop, NoSQL)",5,Infrastructure Cloud Réseaux
C017,Recherche Scientifique et Prototypage,18,Recherche & Méthode
C018,Expérimentation et Tests A/B,18,Recherche & Méthode
C019,"Sécurité, Normes et Procédures",6,Sécurité risque et conformité
C020,"Communication (Client, Storytelling, Publication)",20,Soft Skills
C021,Collaboration d'équipe et Gestion du temps,20,Soft Skills

C022,Conception logicielle et modèles d'architecture,1,Développement
C023,Programmation orientée objet (POO),1,Développement
C024,Structures de données et algorithmes,1,Développement
C025,Concepts de systèmes distribués,1,Développement
C026,HTML/CSS et Design réactif,1,Développement
C027,"JavaScript et gestion d'état (Redux, Context API)",1,Développement
C028,"Frameworks Front-end (React, Angular, Vue)",1,Développement
C029,"Programmation mobile (Swift, Kotlin, Java)",1,Développement
C030,"Frameworks mobiles (Flutter, React Native)",1,Développement
C031,"Déploiement d'applications (App Store, Google Play)",1,Développement
C032,"Programmation côté serveur (Java, Python, Node.js)",1,Développement
C033,"Conception et développement d'API (REST, GraphQL)",1,Développement
C034,Conception et gestion de bases de données (SQL/NoSQL),4,Stockage de Données
C035,"Bases de données spécifiques au mobile (SQLite, Realm)",4,Stockage de Données
C036,"Plateformes Cloud (Services cœurs AWS, GCP, Azure)",5,Infrastructure Cloud Réseaux
C037,"Infrastructure en tant que code (Terraform, CloudFormation)",5,Infrastructure Cloud Réseaux
